diagnosticRunId,comparison,contrastRole,instance,seed,arm,initialBudget,budgetEscalation,sourceRunId,telemetryMode,status,startCondition,paperUse
FC5T-A2_vs_A4-100_2_4_1-20260902-A2_CFVF,A2_vs_A4,POSITIVE,100_2_4_1,20260902,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2A4-100_2_4_1-20260902-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_2_4_1-20260902-A4_BUDGET_AWARE_CATA,A2_vs_A4,POSITIVE,100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,50000,50000->100000->250000->500000_if_required,V35A2A4-100_2_4_1-20260902-A4,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_2_4_1-20260903-A2_CFVF,A2_vs_A4,POSITIVE,100_2_4_1,20260903,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2A4-100_2_4_1-20260903-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_2_4_1-20260903-A4_BUDGET_AWARE_CATA,A2_vs_A4,POSITIVE,100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,50000,50000->100000->250000->500000_if_required,V35A2A4-100_2_4_1-20260903-A4,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_5_3_1-20260901-A2_CFVF,A2_vs_A4,NEGATIVE,100_5_3_1,20260901,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2A4-100_5_3_1-20260901-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_5_3_1-20260901-A4_BUDGET_AWARE_CATA,A2_vs_A4,NEGATIVE,100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,50000,50000->100000->250000->500000_if_required,V35A2A4-100_5_3_1-20260901-A4,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_5_3_1-20260902-A2_CFVF,A2_vs_A4,NEGATIVE,100_5_3_1,20260902,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2A4-100_5_3_1-20260902-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_5_3_1-20260902-A4_BUDGET_AWARE_CATA,A2_vs_A4,NEGATIVE,100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,50000,50000->100000->250000->500000_if_required,V35A2A4-100_5_3_1-20260902-A4,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_5_3_1-20260903-A2_CFVF,A2_vs_A4,NEGATIVE,100_5_3_1,20260903,A2_CFVF,50000,50000->100000->250000->500000_if_required,V35A2A4-100_5_3_1-20260903-A2,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
FC5T-A2_vs_A4-100_5_3_1-20260903-A4_BUDGET_AWARE_CATA,A2_vs_A4,NEGATIVE,100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,50000,50000->100000->250000->500000_if_required,V35A2A4-100_5_3_1-20260903-A4,FC5_100JOB_TRANSFER_V1_OBSERVER_ONLY,COMPLETED_50K_ACCEPTED_PENDING_ANALYSIS,core_merge_pool_fields_absent_in_historical_run,ROOT_CAUSE_DIAGNOSTIC_ONLY
